combo,roles,growth,momentum,div1,div1_role,div2,div2_role,start,end,n_obs,sharpe,cagr,maxdd,calmar,ulcer,z_sharpe,z_cagr,z_maxdd,score,rank,avg_corr
"VUG,MTUM,EQWL,IMTM","large_growth,momentum,broad_control,international",VUG,MTUM,EQWL,broad_control,IMTM,international,2015-12-02,2026-06-23,2653,1.1337845803313218,0.13975768589995274,-0.1798912494133313,0.7769009685336904,4.570040746576137,-0.042430571464537985,-0.23662212726260448,-1.4314474707269538,-0.5076835301927793,4683,
"MGC,SPMO,SPGP,EFG","large_growth,momentum,multifactor,international",MGC,SPMO,SPGP,multifactor,EFG,international,2015-12-02,2026-06-23,2653,1.081695915538009,0.1290546614434367,-0.14348312407472322,0.8994413961618757,4.769930726616671,-0.9666239235416886,-1.4352100113263513,0.9535592955986062,-0.5077154797457658,4684,
"SPYG,XMMO,GSLC,LRGF","large_growth,momentum,quality,multifactor",SPYG,XMMO,GSLC,quality,LRGF,multifactor,2015-12-02,2026-06-23,2653,1.1214184730012198,0.14359477559923306,-0.18034077061391227,0.7962413330630158,5.891722888616572,-0.2618386563310182,0.193077836734324,-1.460894499241095,-0.5078262859377056,4685,
"IWY,MTUM,DGRO,VIG","large_growth,momentum,quality,dividend_growth",IWY,MTUM,DGRO,quality,VIG,dividend_growth,2015-12-02,2026-06-23,2653,1.1428802371009847,0.13779169303882544,-0.18080570566832,0.7620981457941275,5.094546252203702,0.11895090284764727,-0.4567856177859224,-1.4913512514180192,-0.5080738735904451,4686,
"SPYG,MTUM,XLI,EFG","large_growth,momentum,sector,international",SPYG,MTUM,XLI,sector,EFG,international,2015-12-02,2026-06-23,2653,1.0867829556019084,0.13410256408006438,-0.15284324906438934,0.8773862431017156,4.900288051288855,-0.8763661174055348,-0.8699160642951546,0.34040052330846055,-0.5097236119137412,4687,
"SPYG,MTUM,QUAL,SCHD","large_growth,momentum,quality,dividend_growth",SPYG,MTUM,QUAL,quality,SCHD,dividend_growth,2015-12-02,2026-06-23,2653,1.1166453993133625,0.1359353112804902,-0.16760212016538598,0.8110596163482438,4.787058854958934,-0.3465258524570053,-0.6646742097234067,-0.6264168316591897,-0.510030235534261,4688,
"SPYG,SPMO,SPGP,EFG","large_growth,momentum,multifactor,international",SPYG,SPMO,SPGP,multifactor,EFG,international,2015-12-02,2026-06-23,2653,1.08989304420014,0.1349181356492366,-0.15528525140232263,0.8688406299429066,5.018717378884788,-0.821184760420059,-0.7785835437194814,0.1804309548347545,-0.5100497416684705,4689,
"IUSG,XMMO,EQWL,RDVY","large_growth,momentum,broad_control,dividend_growth",IUSG,XMMO,EQWL,broad_control,RDVY,dividend_growth,2015-12-02,2026-06-23,2653,1.1289692211467692,0.14544592255500488,-0.18617820900223814,0.7812188297141499,5.891499509519278,-0.12786802630977076,0.4003802045672593,-1.8432907342760858,-0.5104327809804078,4690,
"SPYG,XMMO,RSP,EFG","large_growth,momentum,broad_control,international",SPYG,XMMO,RSP,broad_control,EFG,international,2015-12-02,2026-06-23,2653,1.10342070952343,0.13499924810125363,-0.16094936476936753,0.8387684430733906,5.20680215309524,-0.5811675050245175,-0.7695000923427889,-0.1906111842481908,-0.5110837556211875,4691,
"SPYG,PDP,SCHD,XLF","large_growth,momentum,dividend_growth,sector",SPYG,PDP,SCHD,dividend_growth,XLF,sector,2015-12-02,2026-06-23,2653,1.0939055138072589,0.1302897215433132,-0.15037504807682706,0.866431786454012,4.616519634336597,-0.7499927313860002,-1.2969006878433698,0.5020863008990223,-0.5110960108148359,4692,
"SPYG,PDP,ITA,EFA","large_growth,momentum,sector,international",SPYG,PDP,ITA,sector,EFA,international,2015-12-02,2026-06-23,2653,1.0946718631592502,0.13416802498383373,-0.1562228363560398,0.8588246642639233,4.779501716169269,-0.7363956276919543,-0.8625853657195717,0.11901206996156806,-0.5113207529028019,4693,
"IWY,MTUM,QUAL,DGRW","large_growth,momentum,quality,dividend_growth",IWY,MTUM,QUAL,quality,DGRW,dividend_growth,2015-12-02,2026-06-23,2653,1.1130294902497009,0.14226632122335747,-0.17524871036162218,0.8117966798716737,4.963530655448918,-0.41068182826502014,0.04430967069630617,-1.1273261530738492,-0.5119272509673373,4694,
"VUG,PDP,LRGF,EFA","large_growth,momentum,multifactor,international",VUG,PDP,LRGF,multifactor,EFA,international,2015-12-02,2026-06-23,2653,1.0701383323776112,0.13061845805309136,-0.14126122611215505,0.9246589573658818,4.6208048983075845,-1.1716866097384322,-1.2600868321645085,1.0991103676608254,-0.5125475721251741,4695,
"MGK,MTUM,SPY,DGRW","large_growth,momentum,broad_control,dividend_growth",MGK,MTUM,SPY,broad_control,DGRW,dividend_growth,2015-12-02,2026-06-23,2653,1.1265549617780897,0.14468680852237958,-0.18427180335229915,0.7851814867506388,5.2124857440651535,-0.170703496705819,0.3153701323372998,-1.7184067878443743,-0.5134960767866059,4696,
"MGC,SPMO,RDVY,XLY","large_growth,momentum,dividend_growth,sector",MGC,SPMO,RDVY,dividend_growth,XLY,sector,2015-12-02,2026-06-23,2653,1.0896147790334803,0.13958710848281286,-0.16201228549490349,0.861583478415925,5.983555023380475,-0.8261219347201111,-0.25572439375834066,-0.2602405073427991,-0.5137581212664749,4697,
"IUSG,MTUM,ITA,EFG","large_growth,momentum,sector,international",IUSG,MTUM,ITA,sector,EFG,international,2015-12-02,2026-06-23,2653,1.0906263398563487,0.13474797680586348,-0.15553593546715727,0.866346265261102,4.977032571346134,-0.8081741184067863,-0.797638935852979,0.16400925815907869,-0.513885309798575,4698,
"IUSG,XMMO,QUAL,SPGP","large_growth,momentum,quality,multifactor",IUSG,XMMO,QUAL,quality,SPGP,multifactor,2015-12-02,2026-06-23,2653,1.1039157795708834,0.14610082499964472,-0.17719321138663724,0.824528343136416,5.640109079306411,-0.5723836276015816,0.47372004776561355,-1.254705633853378,-0.5155543106353218,4699,
"MGK,XMMO,RSP,SPGP","large_growth,momentum,broad_control,multifactor",MGK,XMMO,RSP,broad_control,SPGP,multifactor,2015-12-02,2026-06-23,2653,1.1141133605725662,0.14660440038836953,-0.18205549426209366,0.8052731447770125,5.616255668111974,-0.3914510464647847,0.5301133935988827,-1.573221829068054,-0.5155911712298487,4700,
"IUSG,XMMO,SPY,SPGP","large_growth,momentum,broad_control,multifactor",IUSG,XMMO,SPY,broad_control,SPGP,multifactor,2015-12-02,2026-06-23,2653,1.113845583870422,0.1472670039463766,-0.18289553327980296,0.8051973785553308,5.958238830530217,-0.3962021271258993,0.6043156529500978,-1.6282507195308535,-0.5156872598283863,4701,
"MGC,PDP,ITA,RDVY","large_growth,momentum,sector,dividend_growth",MGC,PDP,ITA,sector,RDVY,dividend_growth,2015-12-02,2026-06-23,2653,1.0877157787415643,0.13998777280813268,-0.16192890717917477,0.8645014361347837,5.455398711408091,-0.8598153198806879,-0.21085563653406408,-0.2547785988998795,-0.5160643827497895,4702,
"SPYG,MTUM,OEF,SPHQ","large_growth,momentum,broad_control,quality",SPYG,MTUM,OEF,broad_control,SPHQ,quality,2015-12-02,2026-06-23,2653,1.0984767250832663,0.14446072444761238,-0.17270158676626787,0.8364759534208779,5.4185699385107915,-0.6688871186967578,0.2900519025325681,-0.9604703495110788,-0.5166273326337226,4703,
