combo,start,end,n_obs,sharpe,cagr,maxdd,calmar,ulcer,z_sharpe,z_cagr,z_maxdd,blended_score,combo_rank,avg_corr
"IGM,SMH,VONG,XLK",2015-12-02,2026-06-23,2653,1.3256631057437736,0.2638177711008134,-0.218001237424116,1.2101663927143793,7.073436923972691,1.8532263361149974,2.0477438171039903,-0.09627354587075512,1.5216816040145447,77,0.9271626456704521
"IYW,SMH,VUG,XMMO",2015-12-02,2026-06-23,2653,1.3444693704328876,0.24796042291199805,-0.22361538913806353,1.1088701178741482,6.888136376049116,2.2860118240947123,1.4452311761932133,-0.29185025515285773,1.5182052138747486,78,0.847094119265415
"QQQ,SMH,SPMO,VONG",2015-12-02,2026-06-23,2653,1.340442345111202,0.237818833446227,-0.20115970019358045,1.1822389535148872,6.089289711891658,2.193338550174388,1.0598933643915844,0.49042460527061366,1.512722205458792,79,0.8616318513552103
"SMH,VONG,XLK,XMMO",2015-12-02,2026-06-23,2653,1.3427566881932016,0.24730876320932116,-0.22051006182959473,1.1215305150131238,6.576332525906224,2.2465981483270965,1.420470844026709,-0.1836719003133624,1.5127059473088884,80,0.8474534422304792
"SMH,SPMO,VGT,XMMO",2015-12-02,2026-06-23,2653,1.3469263672568494,0.24259252071829684,-0.22000213761501453,1.1026825618522562,6.558430488543013,2.3425542894381066,1.241273434434168,-0.1659776605575142,1.5104636429378009,81,0.8134909509383097
"IGM,IWF,IYW,SMH",2015-12-02,2026-06-23,2653,1.3248496498348328,0.26370589185276305,-0.21880952879394314,1.2051846795991212,7.21237743037867,1.8345064085631588,2.0434928754961454,-0.12443148927994006,1.505414769074435,82,0.930250385087919
"DGRW,IGM,SMH,VUG",2015-12-02,2026-06-23,2653,1.3394039411079048,0.23215531087119534,-0.19217187728448704,1.2080607951158104,6.167373766608772,2.1694419289837286,0.8447032895500066,0.8035277983681159,1.4988375110304895,83,0.8651338635398386
"MGC,SMH,SPMO,XLK",2015-12-02,2026-06-23,2653,1.3455332056542184,0.23588713472373812,-0.20862141407841148,1.1306947360402737,6.543962124357538,2.310493689739205,0.9864969247805992,0.23048552247484264,1.4972930267987508,84,0.8549399220084982
"IYW,SMH,VONG,XMMO",2015-12-02,2026-06-23,2653,1.342284472845884,0.2469745927378133,-0.22150832422438846,1.114967546265338,6.910111323151039,2.2357311339093617,1.4077737694020496,-0.21844774609052423,1.496508148557191,85,0.8476018601005694
"IGM,IYW,SMH,VUG",2015-12-02,2026-06-23,2653,1.3246178495263992,0.264382500759478,-0.22110778162050704,1.1957177572937912,7.281686605981558,1.8291720260444781,2.069201172646114,-0.20449429267746508,1.4944475062805802,86,0.9310098366570991
"DGRW,IGM,SMH,VONG",2015-12-02,2026-06-23,2653,1.3379275697391997,0.23119975418339345,-0.18917778617234596,1.2221295050612568,6.194246851259967,2.1354664365716602,0.8083961481129813,0.9078310870641749,1.4918182801325595,87,0.8657700342114536
"IYW,MGC,SMH,SPMO",2015-12-02,2026-06-23,2653,1.3458402330794699,0.2355764989096476,-0.20968307042359347,1.1234884076894966,6.775300442234541,2.3175592615716343,0.9746940683079666,0.19350126110133567,1.4898881034984741,88,0.8509952714458465
"IGM,IYW,SMH,VONG",2015-12-02,2026-06-23,2653,1.3232144206427967,0.26341294109812075,-0.21897705222269598,1.2029248655253346,7.305163931061852,1.796875147090823,2.032361977017115,-0.13026739870891738,1.4820926869087625,89,0.9299339288650316
