ticker,variant,kind,note,start,end,observations,long_window,short_window,entry_days_long,entry_days_short,exit_days_long,exit_days_short,window,entry_days,exit_days,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
DGRO,baseline_buyhold,baseline,total return buy and hold,2014-06-12,2026-03-26,2965,,,,,,,,,,0.1174281104823589,0.12422656289305022,0.16212116536729407,0.7662575248062669,0.7662575248062669,-0.3510317799880728,5.5538347108815636,3.69271339415063,2.69271339415063
DGRO,sma200_3in_2out,single_sma,Plain 200-SMA control without the 20-SMA regime switch.,2014-06-12,2026-03-26,2965,,,,,,,200.0,3.0,2.0,0.05265203766840321,0.056531111169469184,0.10185235026398153,0.5550300118058299,0.5550300118058299,-0.20166730393325275,8.883530475064084,1.8289445742327068,0.8289445742327068
DGRW,hybridL200_S20_eL2_eS2_xL2_xS1,hybrid,Best overall variant from hybridSMAtiming/v4.,2013-05-22,2026-03-26,3231,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.09923567112914866,0.1006603196500493,0.10966452118722106,0.9178932125021579,0.9178932125021579,-0.15387811295878082,4.910783239260153,3.363898831220719,2.363898831220719
DGRW,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Close variant with a slower bull-regime entry.,2013-05-22,2026-03-26,3231,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.09554835605633882,0.09726148197811597,0.10932013257406549,0.8896941458813211,0.8896941458813211,-0.15848710981176137,5.074763158140101,3.2220561669942875,2.2220561669942875
DGRW,200SMA_3in_2out_hybrid20SMA,hybrid,Simpler remembered 3-day version from SMAtiming/v13.,2013-05-22,2026-03-26,3231,200.0,20.0,3.0,3.0,2.0,1.0,,,,0.09405643605535774,0.09582480336571048,0.10864694255468742,0.8819834328745799,0.8819834328745799,-0.1397810804070253,5.009769941506396,3.1662488834067255,2.1662488834067255
DGRW,hybridL200_S20_eL2_eS2_xL1_xS1,hybrid,Near-tie full-span variant with a faster 200-SMA exit.,2013-05-22,2026-03-26,3231,200.0,20.0,2.0,2.0,1.0,1.0,,,,0.09243044764303132,0.09421378184519713,0.1074983709799802,0.8764205539704681,0.8764205539704681,-0.15327214433482533,5.533535142384849,3.1064424608758183,2.1064424608758183
DGRW,baseline_buyhold,baseline,total return buy and hold,2013-05-22,2026-03-26,3231,,,,,,,,,,0.12375563427923741,0.1288217239234649,0.15547859349094584,0.8285495837789831,0.8285495837789831,-0.3203582485580117,4.897955509305875,4.463606674657941,3.4636066746579406
DGRW,sma200_3in_2out,single_sma,Plain 200-SMA control without the 20-SMA regime switch.,2013-05-22,2026-03-26,3231,,,,,,,200.0,3.0,2.0,0.06596189907536854,0.06916652511356024,0.10260909005827443,0.6740779503480514,0.6740779503480514,-0.18000472889292474,6.908700176800066,2.268234713400701,1.2682347134007008
EQWL,hybridL200_S20_eL2_eS2_xL1_xS1,hybrid,Near-tie full-span variant with a faster 200-SMA exit.,2006-12-01,2026-03-26,4858,200.0,20.0,2.0,2.0,1.0,1.0,,,,0.10206109486739456,0.10402795942696337,0.11673805390995769,0.8911229538501829,0.8911229538501829,-0.15807173441019176,5.8944219012791095,6.5107579362839125,5.5107579362839125
EQWL,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Close variant with a slower bull-regime entry.,2006-12-01,2026-03-26,4858,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.09722119700037357,0.09975321538627492,0.1177983134608781,0.8468136126533244,0.8468136126533244,-0.15071121291313092,5.554936729547082,5.981118714909194,4.981118714909194
EQWL,hybridL200_S20_eL2_eS2_xL2_xS1,hybrid,Best overall variant from hybridSMAtiming/v4.,2006-12-01,2026-03-26,4858,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.09762564216639813,0.10019965830054592,0.11845521036019825,0.8458864578084755,0.8458864578084755,-0.1677440673210341,5.921367342676097,6.023763751327723,5.023763751327723
EQWL,200SMA_3in_2out_hybrid20SMA,hybrid,Simpler remembered 3-day version from SMAtiming/v13.,2006-12-01,2026-03-26,4858,200.0,20.0,3.0,3.0,2.0,1.0,,,,0.08440810919919817,0.08774158241528021,0.11554026190785427,0.7594026616042808,0.7594026616042808,-0.24060472771161606,6.768945107069273,4.769118796058975,3.769118796058975
EQWL,sma200_3in_2out,single_sma,Plain 200-SMA control without the 20-SMA regime switch.,2006-12-01,2026-03-26,4858,,,,,,,200.0,3.0,2.0,0.07274659433942343,0.07581650227459841,0.10549513472023928,0.718672974594088,0.718672974594088,-0.20890475810202447,7.054508020473471,3.871837961089054,2.871837961089054
